S-16D Kaldi 8 0.04477611940298507 S:2, I:2, D:2
S-16D Google 9 0.375 S:2, I:2, D:2
S-16D Kaldi 9 0.03125 S:2, I:2, D:3
S-16D Google 10 0.11904761904761904 S:4, I:4, D:5
S-16D Kaldi 10 0.0 S:2, I:2, D:2
S-16D Google 11 0.1728395061728395 S:6, I:5, D:4
S-16D Kaldi 11 0.06172839506172839 S:2, I:2, D:2
S-16D Google 12 0.19148936170212766 S:5, I:6, D:5
S-16D Kaldi 12 0.0425531914893617 S:2, I:2, D:2

S-17A Google 0 0.16666666666666666 S:2, I:2, D:2
S-17A Kaldi 0 0.030864197530864196 S:2, I:2, D:2
S-17A Google 1 0.11604095563139932 S:2, I:2, D:2
S-17A Kaldi 1 0.030716723549488054 S:2, I:2, D:2
S-17A Google 2 0.11006289308176101 S:2, I:2, D:2
S-17A Kaldi 2 0.0031446540880503146 S:2, I:2, D:2
S-17A Google 3 0.10310965630114566 S:2, I:2, D:2
S-17A Kaldi 3 0.008183306055646482 S:2, I:2, D:2
S-17A Google 4 0.12888198757763975 S:2, I:2, D:2
S-17A Kaldi 4 0.034161490683229816 S:2, I:2, D:2
S-17A Google 5 0.17933130699088146 S:2, I:2, D:2
S-17A Kaldi 5 0.0364741641337386 S:2, I:2, D:2
S-17A Google 6 0.09923664122137404 S:4, I:2, D:4
S-17A Kaldi 6 0.003816793893129771 S:2, I:2, D:2
S-17A Google 7 0.10240963855421686 S:2, I:2, D:2
S-17A Kaldi 7 0.018072289156626505 S:2, I:2, D:2
S-17A Google 8 0.1206896551724138 S:2, I:2, D:2
S-17A Kaldi 8 0.01293103448275862 S:2, I:2, D:2
S-17A Google 9 0.10594315245478036 S:2, I:2, D:2
S-17A Kaldi 9 0.031007751937984496 S:2, I:2, D:2
S-17A Google 10 0.07155963302752294 S:2, I:2, D:2
S-17A Kaldi 10 0.022018348623853212 S:2, I:2, D:2
S-17A Google 11 0.06896551724137931 S:3, I:2, D:2
S-17A Kaldi 11 0.022988505747126436 S:2, I:2, D:2

S-18B Google 0 0.2550335570469799 S:2, I:2, D:2
S-18B Kaldi 0 0.040268456375838924 S:2, I:2, D:2
S-18B Google 1 0.2127659574468085 S:2, I:2, D:2
S-18B Kaldi 1 0.02553191489361702 S:2, I:2, D:2
S-18B Google 2 0.20555555555555555 S:27, I:4, D:3
S-18B Kaldi 2 0.0 S:2, I:2, D:2
S-18B Google 3 0.20634920634920634 S:2, I:2, D:2
S-18B Kaldi 3 0.023809523809523808 S:2, I:2, D:2
S-18B Google 4 0.18085106382978725 S:2, I:2, D:2
S-18B Kaldi 4 0.05673758865248227 S:2, I:2, D:2
S-18B Google 5 0.16666666666666666 S:2, I:2, D:2
S-18B Kaldi 5 0.020833333333333332 S:2, I:2, D:2
S-18B Google 6 0.13445378151260504 S:4, I:4, D:4
S-18B Kaldi 6 0.04201680672268908 S:2, I:2, D:2
S-18B Google 7 0.0845771144278607 S:4, I:4, D:2
S-18B Kaldi 7 0.024875621890547265 S:2, I:2, D:2
S-18B Google 8 0.23809523809523808 S:4, I:5, D:5
